@relation mixed_instances_1

@attribute token_count numeric
@attribute avg_token_count numeric
@attribute SLD_URL_mal numeric
@attribute SLD_URL_phis numeric
@attribute SLD_URL_spam numeric
@attribute inbound_link_google numeric
@attribute inbound_link_yahoo numeric
@attribute inbound_link_bing numeric
@attribute lookup_time numeric
@attribute class {malware,phishing,spamming}

@data
2,8.5,0,0.000035,0,0,0,0,99,phishing
2,9.5,0,0,0.000004,0,0,0,105,spamming
2,5,0.000643,0,0,0,0,0,62,malware
2,3,0,0.000035,0,0,0,0,825,phishing
2,9.5,0,0,0.000004,0,0,0,116,spamming
3,8,0.000643,0,0,0,0,0,97,malware
5,3.2,0,0.000035,0,0,0,0,328,phishing
2,9.5,0,0,0.000004,0,0,0,104,spamming
2,4.5,0.000643,0,0,0,0,0,131,malware
3,5.333333,0,0.000035,0,0,0,0,615,phishing
2,9.5,0,0,0.000004,0,0,0,100,spamming
3,5.333333,0.006427,0,0,0,0,0,456,malware
5,4.8,0.000643,0.00045,0.000008,0,0,0,70,phishing
2,9.5,0,0,0.000004,0,0,0,107,spamming
7,5.714286,0.000643,0,0,0,0,0,367,malware
5,4.8,0.000643,0.00045,0.000008,0,0,0,0,phishing
2,9.5,0,0,0.000004,0,0,0,82,spamming
3,3.333333,0.000643,0,0,0,0,0,367,malware
4,6,0.030848,0.016694,0.010558,0,0,0,1011,phishing
2,9.5,0,0,0.000004,0,0,0,54,spamming
3,10.666667,0.000643,0,0,0,0,0,316,malware
2,10.5,0,0.000035,0,0,0,0,680,phishing
2,9.5,0,0,0.000004,0,0,0,323,spamming
2,4,0.000643,0,0,0,0,0,284,malware
4,2.75,0,0.000035,0,0,0,0,0,phishing
2,9.5,0,0,0.000004,0,0,0,57,spamming
3,6.333333,0.000643,0,0,0,0,0,103,malware
4,3.5,0,0.000104,0,0,0,0,455,phishing
2,9.5,0,0,0.000004,0,0,0,123,spamming
3,4.333333,0.000643,0,0,0,0,0,234,malware
9,5.222222,0,0.000035,0,0,0,0,945,phishing
2,9.5,0,0,0.000004,0,0,0,59,spamming
2,10.5,0.000643,0,0,0,0,0,400,malware
2,4,0,0.000035,0,0,0,0,183,phishing
2,9.5,0,0,0.000004,0,0,0,91,spamming
3,5.333333,0.000643,0,0,0,0,0,497,malware
3,6.333333,0,0.000035,0,0,0,0,3119,phishing
2,9.5,0,0,0.000004,0,0,0,50,spamming
3,5,0.000643,0,0,0,0,0,56,malware
3,5.666667,0,0.000035,0,0,0,0,742,phishing
2,9.5,0,0,0.000004,0,0,0,48,spamming
4,6.5,0.000643,0,0,0,0,0,66,malware
2,4.5,0,0.000035,0,0,0,0,1161,phishing
2,9.5,0,0,0.000004,0,0,0,248,spamming
3,4.666667,0.030848,0.016694,0.010558,0,0,0,444,malware
7,2.857143,0,0.000035,0,0,0,0,57,phishing
2,9.5,0,0,0.000004,0,0,0,272,spamming
4,3,0.000643,0,0,0,0,0,24007,malware
3,3.666667,0,0.000139,0.000004,0,0,0,1058,phishing
2,9.5,0,0,0.000004,0,0,0,64,spamming
2,4,0.000643,0,0,0,0,0,61,malware
3,4.333333,0,0.000139,0,0,0,0,712,phishing
