@relation mixed_instances_2

@attribute TLD_AS_com numeric
@attribute TLD_AS_org numeric
@attribute TLD_AS_edu numeric
@attribute TLD_AS_gov numeric
@attribute TLD_AS_uk numeric
@attribute TLD_AS_rest numeric
@attribute Hit_AS_mal numeric
@attribute Hit_AS_phis numeric
@attribute Hit_AS_spam numeric
@attribute NS_Dist_AS numeric
@attribute NS_Count numeric
@attribute TTL_NS numeric
@attribute TTL_DNS_Record numeric
@attribute trust_score_1 numeric
@attribute trust_score_2 numeric
@attribute safety_score_1 numeric
@attribute safety_score_2 numeric
@attribute category_negative numeric
@attribute category_questionable numeric
@attribute category_neutral numeric
@attribute category_positive numeric
@attribute blacklist_mal numeric
@attribute blacklist_phis numeric
@attribute blacklist_scam numeric
@attribute blacklist_spam numeric
@attribute class {normal,abnormal}

@data
0,0,0,0,0,0,0,0,0,0,7,0,0,43,6,5,5,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,4,0,0,94,56,92,51,0,0,33,97,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,2,0,0,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,6,0,0,93,63,91,56,0,0,15,99,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,0,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,4,0,0,86,39,79,33,0,0,0,41,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,9,0,0,49,5,7,6,4,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,4,0,0,93,51,91,46,0,0,21,99,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,9,0,0,43,6,7,6,4,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,2,0,0,94,72,94,62,0,0,4,100,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,6,0,0,87,57,85,43,0,0,4,100,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,19,0,0,19,9,4,4,4,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,4,0,0,85,55,85,47,0,0,21,94,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,6,0,0,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,6,0,0,39,31,7,47,10,0,0,0,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,25,0,0,44,6,8,6,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,4,0,0,94,49,92,43,0,0,12,99,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,0,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,4,0,0,94,58,90,49,0,0,32,100,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,13,0,0,12,11,7,7,11,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,4,0,0,79,38,75,34,0,0,0,99,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,0,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,4,0,0,61,3,95,4,0,0,0,6,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,0,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,8,0,0,85,56,9,52,98,0,11,86,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,13,0,0,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,10,0,0,94,79,94,72,0,0,5,99,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,25,0,0,13,11,4,6,11,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,2,0,0,86,41,84,37,0,0,0,71,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,4,0,0,35,7,6,6,8,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,4,0,0,93,62,93,59,0,0,11,100,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,0,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,10,0,0,90,51,90,42,0,0,18,100,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,13,0,0,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,6,0,0,88,57,77,37,0,0,39,93,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,15,0,0,19,9,2,8,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,10,0,0,86,51,87,42,0,0,0,99,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,28,0,0,44,6,8,6,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,4,0,0,94,69,93,59,0,0,19,98,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,4,0,0,44,6,8,6,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,4,0,0,93,66,94,43,0,0,23,100,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,13,0,0,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,2,0,0,88,41,87,36,0,0,12,12,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,13,0,0,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,4,0,0,93,47,89,41,0,0,20,100,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,4,0,0,3,31,3,21,10,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,3,0,0,69,32,69,27,0,0,4,88,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,19,0,0,44,6,8,6,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,7,0,0,89,62,76,33,0,0,41,99,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,6,0,0,37,7,8,7,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,2,0,0,92,55,83,40,0,0,31,96,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,2,0,0,42,6,4,5,7,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,7,0,0,71,45,76,36,0,0,56,100,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,28,0,0,62,14,79,22,0,0,0,14,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,4,0,0,94,74,94,62,0,0,15,100,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,5,0,0,45,11,45,6,0,3,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,3,0,0,86,15,86,12,0,0,33,12,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,2,0,0,9,11,3,7,37,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,4,0,0,92,57,89,50,0,0,11,97,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,4,0,0,3,15,17,8,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,4,0,0,85,54,9,52,97,0,4,81,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,4,0,0,36,7,6,6,14,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,8,0,0,92,64,92,58,0,0,65,97,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,4,0,0,44,6,8,6,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,4,0,0,94,58,90,50,0,0,10,98,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,2,0,0,50,3,0,0,3,0,0,0,1,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,4,0,0,90,11,93,9,0,0,0,75,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,21,0,0,9,35,4,13,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,4,0,0,93,50,94,20,0,0,15,99,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,2,0,0,65,9,68,7,0,0,0,9,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,13,0,0,94,79,94,69,0,0,23,98,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,2,7,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,6,0,0,92,59,92,54,0,0,17,100,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,13,0,0,13,10,0,0,29,0,0,0,1,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,9,0,0,73,10,81,8,0,0,0,15,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,6,0,0,35,7,6,6,8,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,4,0,0,94,64,93,56,0,0,10,100,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,6,0,0,35,7,6,6,8,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,8,0,0,93,75,94,62,0,0,20,100,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,4,0,0,44,6,8,6,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,4,0,0,94,70,94,61,0,0,27,99,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,6,0,0,5,34,5,25,43,0,0,0,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,8,0,0,89,40,89,29,0,0,0,100,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,2,0,0,19,9,0,0,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,2,0,0,77,32,77,32,0,0,0,100,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,8,0,0,92,58,92,54,0,0,0,100,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,4,0,0,26,8,1,5,0,0,0,0,0,0,0,0,abnormal
0,0,0,0,0,0,0,0,0,0,4,0,0,89,44,90,41,0,0,5,99,0,0,0,0,normal
