@relation mixed_instances_normality

@attribute trust_score_1 numeric
@attribute trust_score_2 numeric
@attribute safety_score_1 numeric
@attribute safety_score_2 numeric
@attribute category_negative numeric
@attribute category_questionable numeric
@attribute category_neutral numeric
@attribute category_positive numeric
@attribute blacklist_mal numeric
@attribute blacklist_phis numeric
@attribute blacklist_scam numeric
@attribute blacklist_spam numeric
@attribute class {normal,abnormal}

@data
86,44,11,38,100,0,0,99,0,0,0,0,normal
12,12,12,7,43,0,7,0,0,0,0,0,abnormal
86,49,79,38,0,0,4,96,0,0,0,0,normal
4,12,0,0,4,0,0,0,1,0,0,0,abnormal
91,63,91,48,0,0,15,96,0,0,0,0,normal
7,11,0,0,3,0,0,0,1,0,0,0,abnormal
94,75,94,71,0,0,7,100,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,abnormal
93,41,89,36,0,0,38,100,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,abnormal
95,46,94,43,0,0,7,100,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,abnormal
77,16,67,8,0,0,0,16,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,abnormal
91,66,91,56,0,0,34,100,0,0,0,0,normal
7,11,33,2,7,0,0,0,0,0,0,0,abnormal
94,77,93,66,0,0,51,100,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,abnormal
94,75,91,57,0,0,27,100,0,0,0,0,normal
50,2,0,0,3,0,0,0,0,0,0,0,abnormal
94,17,93,8,0,0,0,100,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,abnormal
93,74,90,55,0,0,34,99,0,0,0,0,normal
48,5,0,0,3,0,0,0,0,0,0,0,abnormal
94,45,93,40,0,0,17,98,0,0,0,0,normal
19,9,0,0,0,0,0,0,0,0,0,0,abnormal
92,71,88,53,0,0,26,99,0,0,0,0,normal
50,4,0,0,3,0,0,0,0,0,0,0,abnormal
92,69,90,55,0,0,21,100,0,0,0,0,normal
7,11,1,9,10,0,0,0,0,0,0,0,abnormal
91,45,87,37,0,0,8,98,0,0,0,0,normal
2,19,2,15,12,0,0,0,0,0,0,0,abnormal
88,51,84,41,0,0,19,100,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,abnormal
82,41,81,34,0,0,0,53,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,abnormal
76,34,71,28,0,0,0,83,0,0,0,0,normal
8,12,9,6,4,0,0,0,0,0,0,0,abnormal
94,52,90,43,0,0,12,100,0,0,0,0,normal
7,11,0,0,0,0,0,0,0,0,0,0,abnormal
92,52,91,47,0,0,0,100,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,abnormal
90,67,89,55,0,0,21,96,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,abnormal
94,72,94,70,0,0,16,97,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,abnormal
91,69,86,49,0,0,34,99,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,abnormal
94,68,95,62,0,0,12,100,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,abnormal
35,12,37,12,25,0,0,0,0,0,0,0,normal
4,12,2,6,3,0,0,0,0,0,0,0,abnormal
93,65,89,53,0,0,32,100,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,abnormal
93,55,89,46,0,0,12,97,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,abnormal
83,47,10,46,99,0,20,78,0,0,0,0,normal
41,6,1,6,4,0,0,0,0,0,0,0,abnormal
89,66,89,54,0,0,6,97,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,abnormal
83,41,79,30,0,0,20,92,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,abnormal
84,38,85,37,0,0,0,99,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,abnormal
93,46,91,39,0,0,12,99,0,0,0,0,normal
39,7,0,0,0,0,0,0,0,0,0,0,abnormal
88,53,85,41,0,0,45,7,0,0,0,0,normal
48,5,0,0,14,0,0,0,0,0,0,0,abnormal
91,69,91,58,0,0,52,99,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,abnormal
90,50,86,39,0,0,16,50,0,0,0,0,normal
3,20,3,16,46,0,0,0,0,0,0,0,abnormal
12,43,10,26,40,0,13,0,0,0,0,0,normal
62,6,58,3,4,0,4,48,0,0,0,0,abnormal
93,66,94,61,0,0,14,99,0,0,0,0,normal
50,2,0,0,0,0,0,0,0,0,0,0,abnormal
92,69,93,60,0,0,7,96,0,0,0,0,normal
48,5,0,0,15,0,0,0,0,0,0,0,abnormal
91,47,91,43,0,0,0,100,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,abnormal
50,6,20,4,18,8,0,0,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,abnormal
93,67,92,57,0,0,30,100,0,0,0,0,normal
26,8,0,0,0,0,0,0,0,0,0,0,abnormal
78,32,81,27,0,0,0,32,0,0,0,0,normal
19,9,0,0,47,0,0,0,1,0,0,0,abnormal
94,59,94,56,0,0,0,100,0,0,0,0,normal
27,8,0,0,23,0,0,0,1,0,0,0,abnormal
90,55,86,47,0,0,10,100,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,abnormal
93,66,92,62,0,0,16,100,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,abnormal
94,72,93,60,0,0,26,100,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,abnormal
90,63,90,55,0,0,6,96,0,0,0,0,normal
48,5,0,0,3,0,0,0,0,0,0,0,abnormal
32,32,47,32,4,36,0,0,0,0,0,0,normal
2,13,1,10,12,0,0,0,0,0,0,0,abnormal
90,50,85,40,0,0,0,100,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,abnormal
81,50,80,43,0,0,29,76,0,0,0,0,normal
5,12,1,8,45,0,0,0,0,0,0,0,abnormal
94,64,92,57,0,0,34,100,0,0,0,0,normal
0,0,0,0,0,0,0,0,0,0,0,0,abnormal
88,38,82,30,0,0,0,86,0,0,0,0,normal
19,9,0,0,0,0,0,0,0,0,0,0,abnormal
91,50,86,41,0,0,6,100,0,0,0,0,normal
